method,episodes,Tool_Validity_Rate,VLM_Calls,VLM_Latency_s
Direct-VLM,80,0.9476584022038568,4.5375,7.343733572913334
FullTopo-VLM,80,0.9652996845425867,3.9625,6.513826836901717
FullTopo+Validator,80,0.9652996845425867,3.9625,6.513826836901717
History-Agent,80,0.905829596412556,2.7875,6.057961870357394
TopoNav-Harness,80,0.8814229249011858,3.1625,5.528425740264356
