method,task_type,episodes,SR,SR_CI_low,SR_CI_high,Final_DTG_m,Path_Length_m,Tool_Validity_Rate,VLM_Calls,VLM_Latency_s
Direct-VLM,ALL,80,0.1,0.0375,0.1625,7.6947108373045925,9.8617940178141,0.9476584022038568,4.5375,7.343733572913334
FullTopo-VLM,ALL,80,0.35,0.25,0.45,5.8402604080736635,11.762729864753783,0.9652996845425867,3.9625,6.513826836901717
FullTopo+Validator,ALL,80,0.35,0.25,0.45,5.8402604080736635,11.762729864753783,0.9652996845425867,3.9625,6.513826836901717
History-Agent,ALL,80,0.575,0.4625,0.675,4.788055845350027,12.060489527508617,0.905829596412556,2.7875,6.057961870357394
TopoNav-Harness,ALL,80,0.7375,0.6375,0.825,3.8283836536109446,14.46732695363462,0.8814229249011858,3.1625,5.528425740264356
